Date,Group,Exercise,Sets,Total volume (kg),Max weight (kg)
17 Mar 2025,Chest,Bench press dumbell,"26x8
28x6
28x5",516,28.0
17 Mar 2025,Chest,Incline bench press dumbell,"22x8
22x7
22x6",462,22.0
17 Mar 2025,Chest,Inner pec machine,"45x8
45x7
45x6",945,45.0
17 Mar 2025,Back,Pullups,"76x7
76x6
76x5",1368,76.0
17 Mar 2025,Back,Lombar aparat,"10x10
10x9
10x8",270,10.0
17 Mar 2025,Back,Ramat 1 hand DB,"28x8
28x7
28x7",616,28.0
17 Mar 2025,Back,Pullover cable bara dreapta,"20x12
20x10
20x9",620,20.0
17 Mar 2025,Shoulders,Seated shoulder press,"18x9
18x8
18x8",450,18.0
17 Mar 2025,Shoulders,Lateral raises DB,"8x7
6x13
6x11",200,8.0
17 Mar 2025,Shoulders,Frontraise DB seated,"6x8
6x8
6x8",144,6.0
17 Mar 2025,Shoulders,One hand scripete umeri posteriori,"2.5x11
2.5x11
2.5x10",79,2.5
17 Mar 2025,Shoulders,Lu raises,"5x10
5x9
5x7",130,5.0
17 Mar 2025,Triceps,Triceps pushdown rope,"12.5x14
15x8
15x7",400,15.0
17 Mar 2025,Triceps,Skull crushers DB,"10x9
10x7
10x6",220,10.0
17 Mar 2025,Biceps,Seated biceps curls DB,"12x10
12x9
12x7",312,12.0
17 Mar 2025,Biceps,Biceps curls bara dreapta scripete,"20x9
20x8
17.5x9",497,20.0
17 Mar 2025,Legs (upper),Goblet squat,"30x11
35x8
40x6",850,40.0
17 Mar 2025,Legs (upper),Trap bar deadlift,"50x8
60x7
60x6",1180,60.0
17 Mar 2025,Legs (upper),Walking lounge,"30x7
30x6",390,30.0
17 Mar 2025,Legs (upper),Quad raise machine,"60x8
62.5x6
60x7",1275,62.5
24 Mar 2025,Chest,Bench press dumbell,"26x8
28x6
24x7",544,28.0
24 Mar 2025,Chest,Incline bench press dumbell,"20x10
20x10
20x9",580,20.0
24 Mar 2025,Chest,Inner pec machine,"40x12
45x9
45x8",1245,45.0
24 Mar 2025,Chest,"Aparat push WC One (poz 6, deget mijloc la mijloc)","60x10
60x9
50x10",1640,60.0
24 Mar 2025,Chest,Flies cable top,"10x11
10x9
10x7",270,10.0
24 Mar 2025,Back,Helcometru aparat cu discuri,"60x11
70x10
70x9",1990,70.0
24 Mar 2025,Back,Pullups,"77x5
77x4
77x4
77x5
77x4",1694,77.0
24 Mar 2025,Back,Lombar aparat,"10x10
10x10
10x10",300,10.0
24 Mar 2025,Back,Ramat 1 hand DB,"28x10
28x9
28x8",756,28.0
24 Mar 2025,Back,Pullover cable bara dreapta,"20x12
22.5x7
20x9",577,22.5
24 Mar 2025,Shoulders,Seated shoulder press,"18x10
18x9
18x9",504,18.0
24 Mar 2025,Shoulders,Aparat seated shoulder press,"40x10
40x9
40x8",1080,40.0
24 Mar 2025,Shoulders,Lateral raises DB,"8x8
8x7
7x9",183,8.0
24 Mar 2025,Shoulders,Frontraise DB seated,"6x8
6x8
6x8",144,6.0
24 Mar 2025,Shoulders,Facepulls,"20x10
20x9
17.5x10",555,20.0
24 Mar 2025,Shoulders,Reverse flies cable,"2.5x11
2.5x10
2.5x9",74,2.5
24 Mar 2025,Shoulders,"Exercitiu de la kineto, cu bara ridicata","15x10
15x9
15x9",420,15.0
24 Mar 2025,Shoulders,Shrughs banca,"22x15
22x12
22x10",814,22.0
24 Mar 2025,Triceps,Triceps pushdown rope,"15x11
15x10
12.5x12",465,15.0
24 Mar 2025,Triceps,Skull crushers DB,"10x10
10x8
9x10",270,10.0
24 Mar 2025,Triceps,Reverse cable sfoara,"12.5x12
15x10
15x9",435,15.0
24 Mar 2025,Biceps,Seated biceps curls DB,"12x10
12x9
12x8",324,12.0
24 Mar 2025,Biceps,Seated hammer curls DB,"12x8
10x10
10x9",286,12.0
24 Mar 2025,Biceps,Biceps curls bara dreapta scripete,"17.5x10
17.5x9
17.5x8",472,17.5
24 Mar 2025,Legs (upper),Goblet squat,"30x11
34x9
34x8",908,34.0
24 Mar 2025,Legs (upper),Sumo squat KB/BB,"20x17
28x13
32x10
32x10",1344,32.0
24 Mar 2025,Legs (upper),Trap bar deadlift,"60x8
60x8
60x8",1440,60.0
24 Mar 2025,Legs (upper),Hip thrusts,"60x10
60x10
60x8",1680,60.0
24 Mar 2025,Legs (upper),Straight leg DL DB,"22.5x8
22.5x6",315,22.5
24 Mar 2025,Legs (upper),Walking lounge,"25x9
25x8
25x8",625,25.0
24 Mar 2025,Legs (upper),Quad raise machine,"55x8
55x7
50x8",1225,55.0
24 Mar 2025,Legs (upper),Lying hammstring curls,"30x8
25x10
25x7",665,30.0
24 Mar 2025,Legs (upper),Bulgarian split squats,"15x8
15x8",240,15.0
24 Mar 2025,Legs (lower),Gambe machine,"40x10
40x8",720,40.0
24 Mar 2025,Legs (lower),Gambe presa,"110x13
110x11
100x13",3940,110.0
31 Mar 2025,Chest,Bench press dumbell,"24x11
24x9
24x7",648,24.0
31 Mar 2025,Chest,Incline bench press barbell,"45x8
45x8
45x8",1080,45.0
31 Mar 2025,Chest,Inner pec machine,"40x10
40x10",800,40.0
31 Mar 2025,Chest,"Aparat push WC One (poz 6, deget mijloc la mijloc)","60x8
50x11
50x10
50x8",1930,60.0
31 Mar 2025,Chest,Flies cable top,"10x9
10x8
7.5x10
7.5x10",320,10.0
31 Mar 2025,Back,Helcometru V Bar,"50x10
50x9
45x8",1310,50.0
31 Mar 2025,Back,Helcometru clasic (un pic lăsat pe spate),"45x10
45x9
40x9",1215,45.0
31 Mar 2025,Back,Pullups,"77x7
77x5
77x5",1309,77.0
31 Mar 2025,Back,Ramat 1 hand DB,"28x10
28x9
28x8",756,28.0
31 Mar 2025,Back,Pullover cable bara dreapta,"20x10
20x10
20x9",580,20.0
31 Mar 2025,Shoulders,Seated shoulder press,"18x10
18x10
18x9",522,18.0
31 Mar 2025,Shoulders,Lateral raises DB,"6x10
6x10
6x9
6x8",222,6.0
31 Mar 2025,Shoulders,Frontraise DB seated,"6x8
6x8
6x8",144,6.0
31 Mar 2025,Shoulders,Facepulls,"20x9
20x9
20x8
17.5x9",677,20.0
31 Mar 2025,Shoulders,"Exercitiu de la kineto, cu bara ridicata","15x10
15x10
15x8",420,15.0
31 Mar 2025,Triceps,Triceps pushdown bara V,"20x12
20x10
20x10",640,20.0
31 Mar 2025,Triceps,Triceps pulldown reverse,"15x11
17.5x10
17.5x9",497,17.5
31 Mar 2025,Biceps,Seated biceps curls DB,"12x11
12x9
12x8",336,12.0
31 Mar 2025,Biceps,Biceps curls bara dreapta scripete,"17.5x10
17.5x10
17.5x8",490,17.5
31 Mar 2025,Legs (upper),Goblet squat,"30x10
30x10
32x10",920,32.0
31 Mar 2025,Legs (upper),Sumo squat KB/BB,"30x11
30x10
30x9
30x9",1170,30.0
